fecha,texto,emocion
2023-06-11,"No soporto más esta situación, me enoja demasiado.",ira
2023-10-24,Estoy harto de que me ignoren.,ira
2023-08-06,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2023-09-11,Tengo miedo de lo que pueda pasar.,miedo
2023-12-18,Tengo fe en que todo esto pasará.,esperanza
2023-12-24,Me quedé sin palabras.,sorpresa
2023-03-25,No puedo creer que dije eso frente a todos.,vergüenza
2023-11-16,"Me siento vacío, como si algo faltara.",tristeza
2024-01-01,Siento que algo malo va a suceder.,miedo
2023-04-26,Estoy muy confundido con mis emociones.,confusión
2024-01-22,Me regalaron algo que quería hace mucho.,alegría
2023-05-27,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-12-15,No pude evitar llorar esta mañana.,tristeza
2023-02-11,No pude evitar llorar esta mañana.,tristeza
2024-05-14,"Cada vez que lo veo, me siento en paz.",amor
2024-08-29,Estoy enamorado y no me da miedo decirlo.,amor
2024-08-04,Me quedé sin palabras.,sorpresa
2023-12-19,Estoy enamorado y no me da miedo decirlo.,amor
2025-01-21,Mi corazón late rápido y no sé por qué.,ansiedad
2024-11-13,Me cuesta levantarme de la cama.,depresión
2024-01-17,"No soporto más esta situación, me enoja demasiado.",ira
2024-02-27,Creo que las cosas pueden mejorar.,esperanza
2023-10-27,"No soporto más esta situación, me enoja demasiado.",ira
2023-11-18,Quisiera poder volver atrás y arreglarlo.,culpa
2024-07-08,Me siento muy avergonzado por lo que hice.,vergüenza
2023-05-11,Siento que no valgo nada.,depresión
2024-07-26,No tengo ganas de seguir con nada.,depresión
2023-01-03,Quisiera poder volver atrás y arreglarlo.,culpa
2023-07-09,Creo que las cosas pueden mejorar.,esperanza
2023-08-09,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2024-11-15,No pude evitar llorar esta mañana.,tristeza
2023-10-03,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-03-19,Me quedé sin palabras.,sorpresa
2023-07-15,Tengo fe en que todo esto pasará.,esperanza
2023-02-28,"Me siento vacío, como si algo faltara.",tristeza
2024-04-28,Quiero desaparecer después de lo que pasó.,vergüenza
2024-08-17,Estoy muy confundido con mis emociones.,confusión
2023-06-28,Me siento muy avergonzado por lo que hice.,vergüenza
2023-02-11,No pude evitar llorar esta mañana.,tristeza
2024-08-19,Siento que no valgo nada.,depresión
2024-03-28,"No soporto más esta situación, me enoja demasiado.",ira
2023-04-16,Me siento muy avergonzado por lo que hice.,vergüenza
2023-07-10,"Cada vez que lo veo, me siento en paz.",amor
2024-06-21,Todo parece un caos en mi cabeza.,confusión
2023-08-31,Tengo fe en que todo esto pasará.,esperanza
2025-01-10,Estoy muy confundido con mis emociones.,confusión
2024-08-04,Quisiera poder volver atrás y arreglarlo.,culpa
2023-03-29,Me regalaron algo que quería hace mucho.,alegría
2023-11-09,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2025-02-18,No esperaba que me dijera eso.,sorpresa
2024-06-07,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-03-07,Me siento muy avergonzado por lo que hice.,vergüenza
2023-09-07,Quiero desaparecer después de lo que pasó.,vergüenza
2023-05-08,"Cada vez que lo veo, me siento en paz.",amor
2023-11-09,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2023-05-06,"Hoy me siento increíble, todo va saliendo bien.",alegría
2023-02-28,Quiero desaparecer después de lo que pasó.,vergüenza
2023-06-01,No puedo dejar de pensar en lo que hice.,culpa
2024-05-28,Estoy enamorado y no me da miedo decirlo.,amor
2023-07-07,No esperaba que me dijera eso.,sorpresa
2024-02-05,Quisiera poder volver atrás y arreglarlo.,culpa
2024-10-09,Siento que algo malo va a suceder.,miedo
2023-08-25,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-12-19,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2024-10-04,Mi corazón late rápido y no sé por qué.,ansiedad
2024-06-01,Quisiera poder volver atrás y arreglarlo.,culpa
2024-01-25,Siento que no valgo nada.,depresión
2024-12-26,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2024-07-31,No tengo ganas de seguir con nada.,depresión
2024-12-23,Quiero desaparecer después de lo que pasó.,vergüenza
2023-05-25,Quisiera poder volver atrás y arreglarlo.,culpa
2025-02-13,Nada me motiva últimamente.,tristeza
2023-09-03,"Cada vez que lo veo, me siento en paz.",amor
2025-02-01,Nada me motiva últimamente.,tristeza
2023-08-24,Me siento culpable aunque no sé si debería.,culpa
2023-03-27,Estoy harto de que me ignoren.,ira
2023-07-12,Su sonrisa me cambia el día.,amor
2023-10-02,Quisiera poder volver atrás y arreglarlo.,culpa
2024-03-09,"Fue una sorpresa total, no lo vi venir.",sorpresa
2025-03-01,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-11-07,Estoy enamorado y no me da miedo decirlo.,amor
2023-07-04,Estoy enamorado y no me da miedo decirlo.,amor
2024-12-11,"Cada vez que lo veo, me siento en paz.",amor
2023-12-12,Siento que no valgo nada.,depresión
2024-10-31,No esperaba que me dijera eso.,sorpresa
2023-01-12,Me siento culpable aunque no sé si debería.,culpa
2025-01-07,"Hoy me siento increíble, todo va saliendo bien.",alegría
2025-01-20,Quiero desaparecer después de lo que pasó.,vergüenza
2023-01-22,Tengo fe en que todo esto pasará.,esperanza
2025-03-05,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-10-19,Creo que las cosas pueden mejorar.,esperanza
2024-10-14,No puedo creer que dije eso frente a todos.,vergüenza
2024-04-30,Siento que no valgo nada.,depresión
2024-03-12,Estoy enamorado y no me da miedo decirlo.,amor
2023-12-12,No puedo dejar de pensar en lo que hice.,culpa
2024-02-06,No entiendo lo que me está pasando.,confusión
2024-09-03,Siento que no valgo nada.,depresión
2023-03-11,Estoy harto de que me ignoren.,ira
2024-08-19,No puedo creer que dije eso frente a todos.,vergüenza
2023-01-22,"Fue una sorpresa total, no lo vi venir.",sorpresa
2024-04-11,Sigo adelante porque aún tengo esperanza.,esperanza
2023-11-06,Estoy muy confundido con mis emociones.,confusión
2023-05-30,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2025-01-07,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-08-13,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2024-01-16,Creo que las cosas pueden mejorar.,esperanza
2023-09-20,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-02-27,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-02-24,Quiero desaparecer después de lo que pasó.,vergüenza
2023-10-08,No puedo creer que dije eso frente a todos.,vergüenza
2023-10-22,Quisiera poder volver atrás y arreglarlo.,culpa
2025-01-17,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2024-01-22,No esperaba que me dijera eso.,sorpresa
2024-12-26,Sigo adelante porque aún tengo esperanza.,esperanza
2025-01-11,Estoy harto de que me ignoren.,ira
2024-11-11,Quiero desaparecer después de lo que pasó.,vergüenza
2024-09-06,No tengo ganas de seguir con nada.,depresión
2023-12-11,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-11-03,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2023-05-03,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2023-07-24,Me siento muy avergonzado por lo que hice.,vergüenza
2023-06-03,Nada me motiva últimamente.,tristeza
2024-10-07,No pude evitar llorar esta mañana.,tristeza
2024-09-09,No puedo creer que dije eso frente a todos.,vergüenza
2024-01-10,Me siento muy avergonzado por lo que hice.,vergüenza
2024-07-23,Nada me motiva últimamente.,tristeza
2025-03-05,Tengo fe en que todo esto pasará.,esperanza
2023-06-27,Tengo miedo de lo que pueda pasar.,miedo
2024-01-21,Mi corazón late rápido y no sé por qué.,ansiedad
2024-09-22,Tengo fe en que todo esto pasará.,esperanza
2023-11-18,Quiero desaparecer después de lo que pasó.,vergüenza
2023-08-23,Sigo adelante porque aún tengo esperanza.,esperanza
2023-08-16,Estoy harto de que me ignoren.,ira
2024-04-14,No pude evitar llorar esta mañana.,tristeza
2024-04-05,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-04-24,Quisiera poder volver atrás y arreglarlo.,culpa
2023-04-27,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2024-09-08,"No soporto más esta situación, me enoja demasiado.",ira
2023-05-24,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-07-15,Tengo miedo de lo que pueda pasar.,miedo
2024-04-01,Todo parece un caos en mi cabeza.,confusión
2024-03-24,Todo parece un caos en mi cabeza.,confusión
2023-01-26,Me siento muy avergonzado por lo que hice.,vergüenza
2023-02-05,Sigo adelante porque aún tengo esperanza.,esperanza
2024-02-02,No puedo creer que dije eso frente a todos.,vergüenza
2023-12-30,Todo parece un caos en mi cabeza.,confusión
2024-03-26,Sigo adelante porque aún tengo esperanza.,esperanza
2023-10-29,No puedo dejar de pensar en lo que hice.,culpa
2024-08-15,Me cuesta levantarme de la cama.,depresión
2023-03-25,Me siento culpable aunque no sé si debería.,culpa
2024-10-30,Me quedé sin palabras.,sorpresa
2023-06-04,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2023-06-01,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2024-01-30,Nada me motiva últimamente.,tristeza
2023-05-15,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-02-15,Creo que las cosas pueden mejorar.,esperanza
2024-02-18,No pude evitar llorar esta mañana.,tristeza
2023-04-19,Nada me motiva últimamente.,tristeza
2023-12-16,No pude evitar llorar esta mañana.,tristeza
2025-02-01,Tengo miedo de lo que pueda pasar.,miedo
2023-09-25,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-07-29,Me cuesta levantarme de la cama.,depresión
2024-02-18,Me siento culpable aunque no sé si debería.,culpa
2024-04-12,Su sonrisa me cambia el día.,amor
2024-10-14,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-04-22,Siento que no valgo nada.,depresión
2024-12-20,No puedo dejar de pensar en lo que hice.,culpa
2024-05-20,"No soporto más esta situación, me enoja demasiado.",ira
2024-09-22,Tengo miedo de lo que pueda pasar.,miedo
2023-11-06,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2023-05-07,Me siento culpable aunque no sé si debería.,culpa
2025-02-18,Tengo fe en que todo esto pasará.,esperanza
2023-02-15,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-03-28,Sigo adelante porque aún tengo esperanza.,esperanza
2024-02-08,Me regalaron algo que quería hace mucho.,alegría
2024-04-11,Quisiera poder volver atrás y arreglarlo.,culpa
2023-10-31,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-10-22,Tengo miedo de lo que pueda pasar.,miedo
2024-04-01,Siento que algo malo va a suceder.,miedo
2024-11-24,No pude evitar llorar esta mañana.,tristeza
2024-01-01,No tengo ganas de seguir con nada.,depresión
2024-07-11,No entiendo lo que me está pasando.,confusión
2024-01-11,Creo que las cosas pueden mejorar.,esperanza
2023-03-12,No tengo ganas de seguir con nada.,depresión
2023-12-31,Me regalaron algo que quería hace mucho.,alegría
2024-06-09,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-01-23,No esperaba que me dijera eso.,sorpresa
2024-08-17,Me cuesta levantarme de la cama.,depresión
2025-01-10,"Fue una sorpresa total, no lo vi venir.",sorpresa
2024-04-19,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2024-06-12,No puedo dejar de pensar en lo que hice.,culpa
2025-02-26,Quiero desaparecer después de lo que pasó.,vergüenza
2023-06-14,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-02-19,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-06-10,Nada me motiva últimamente.,tristeza
2023-07-15,No tengo ganas de seguir con nada.,depresión
2024-07-23,Su sonrisa me cambia el día.,amor
2024-09-30,No entiendo lo que me está pasando.,confusión
2023-02-07,Me quedé sin palabras.,sorpresa
2023-09-04,Estoy muy confundido con mis emociones.,confusión
2023-02-17,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-09-20,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-05-19,Estoy harto de que me ignoren.,ira
2024-04-06,No puedo dejar de pensar en lo que hice.,culpa
2023-04-24,Sigo adelante porque aún tengo esperanza.,esperanza
2023-12-03,No esperaba que me dijera eso.,sorpresa
2024-10-19,Su sonrisa me cambia el día.,amor
2024-10-28,Todo parece un caos en mi cabeza.,confusión
2024-04-26,"Me siento vacío, como si algo faltara.",tristeza
2023-05-09,Mi corazón late rápido y no sé por qué.,ansiedad
2024-12-31,No puedo dejar de pensar en lo que hice.,culpa
2025-03-11,"Hoy me siento increíble, todo va saliendo bien.",alegría
2024-12-30,No puedo creer que dije eso frente a todos.,vergüenza
2023-08-07,Estoy muy confundido con mis emociones.,confusión
2023-12-29,Siento que algo malo va a suceder.,miedo
2024-10-12,Tengo miedo de lo que pueda pasar.,miedo
2024-04-26,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2023-07-28,Quiero desaparecer después de lo que pasó.,vergüenza
2024-03-25,No puedo dejar de pensar en lo que hice.,culpa
2023-06-08,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-06-13,"Me siento vacío, como si algo faltara.",tristeza
2024-02-24,Todo parece un caos en mi cabeza.,confusión
2023-02-10,Me siento muy avergonzado por lo que hice.,vergüenza
2023-02-05,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-06-23,Todo parece un caos en mi cabeza.,confusión
2025-01-04,No puedo dejar de pensar en lo que hice.,culpa
2023-10-30,"Cada vez que lo veo, me siento en paz.",amor
2024-06-01,Tengo fe en que todo esto pasará.,esperanza
2023-07-02,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-11-16,"Me siento vacío, como si algo faltara.",tristeza
2024-05-11,Creo que las cosas pueden mejorar.,esperanza
2024-06-16,Sigo adelante porque aún tengo esperanza.,esperanza
2024-08-13,No tengo ganas de seguir con nada.,depresión
2023-07-16,Mi corazón late rápido y no sé por qué.,ansiedad
2024-07-27,Todo parece un caos en mi cabeza.,confusión
2023-09-21,Me regalaron algo que quería hace mucho.,alegría
2024-01-13,"Me siento vacío, como si algo faltara.",tristeza
2023-09-27,Sigo adelante porque aún tengo esperanza.,esperanza
2025-02-24,Me cuesta levantarme de la cama.,depresión
2023-05-22,No entiendo lo que me está pasando.,confusión
2023-06-24,Me cuesta levantarme de la cama.,depresión
2025-03-08,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-02-21,Estoy muy confundido con mis emociones.,confusión
2024-07-06,Quisiera poder volver atrás y arreglarlo.,culpa
2024-08-06,Me cuesta levantarme de la cama.,depresión
2023-11-29,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2025-03-04,Nada me motiva últimamente.,tristeza
2024-09-18,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-10-27,Siento que algo malo va a suceder.,miedo
2023-03-14,No entiendo lo que me está pasando.,confusión
2024-05-16,Nada me motiva últimamente.,tristeza
2023-01-08,Mi corazón late rápido y no sé por qué.,ansiedad
2023-10-02,Tengo fe en que todo esto pasará.,esperanza
2023-07-07,Estoy muy confundido con mis emociones.,confusión
2023-07-06,No tengo ganas de seguir con nada.,depresión
2024-09-02,Siento que no valgo nada.,depresión
2024-02-04,Tengo fe en que todo esto pasará.,esperanza
2023-01-19,Todo parece un caos en mi cabeza.,confusión
2023-08-21,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-06-14,Siento que no valgo nada.,depresión
2023-08-24,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2023-08-05,No puedo dejar de pensar en lo que hice.,culpa
2024-01-04,No entiendo lo que me está pasando.,confusión
2024-03-31,"No soporto más esta situación, me enoja demasiado.",ira
2023-11-27,Estoy muy confundido con mis emociones.,confusión
2023-08-28,Nada me motiva últimamente.,tristeza
2023-07-26,No tengo ganas de seguir con nada.,depresión
2023-01-04,Quiero desaparecer después de lo que pasó.,vergüenza
2025-01-30,Nada me motiva últimamente.,tristeza
2023-10-15,Me regalaron algo que quería hace mucho.,alegría
2024-10-02,Estoy muy confundido con mis emociones.,confusión
2024-10-30,Tengo fe en que todo esto pasará.,esperanza
2024-03-26,Mi corazón late rápido y no sé por qué.,ansiedad
2024-05-16,Creo que las cosas pueden mejorar.,esperanza
2024-01-15,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-02-27,Estoy muy confundido con mis emociones.,confusión
2023-06-27,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-02-03,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2024-09-22,Me cuesta levantarme de la cama.,depresión
2023-02-15,No puedo creer que dije eso frente a todos.,vergüenza
2023-05-25,Estoy harto de que me ignoren.,ira
2023-06-13,"No soporto más esta situación, me enoja demasiado.",ira
2025-02-21,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-04-15,Me siento culpable aunque no sé si debería.,culpa
2024-01-14,Mi corazón late rápido y no sé por qué.,ansiedad
2024-09-18,Me siento muy avergonzado por lo que hice.,vergüenza
2023-12-04,Me cuesta levantarme de la cama.,depresión
2023-07-31,No puedo creer que dije eso frente a todos.,vergüenza
2023-04-14,Estoy enamorado y no me da miedo decirlo.,amor
2023-05-20,Me siento muy avergonzado por lo que hice.,vergüenza
2024-11-07,Todo parece un caos en mi cabeza.,confusión
2023-05-01,Me cuesta levantarme de la cama.,depresión
2023-03-15,Me siento muy avergonzado por lo que hice.,vergüenza
2023-10-29,Me regalaron algo que quería hace mucho.,alegría
2024-10-06,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2025-01-10,Su sonrisa me cambia el día.,amor
2024-09-24,Me cuesta levantarme de la cama.,depresión
2024-05-31,Estoy harto de que me ignoren.,ira
2024-11-13,Mi corazón late rápido y no sé por qué.,ansiedad
2023-06-10,Todo parece un caos en mi cabeza.,confusión
2025-01-16,No pude evitar llorar esta mañana.,tristeza
2024-12-09,No puedo creer que dije eso frente a todos.,vergüenza
2023-08-19,Siento que algo malo va a suceder.,miedo
2023-02-12,Quiero desaparecer después de lo que pasó.,vergüenza
2023-04-29,Me siento culpable aunque no sé si debería.,culpa
2023-12-29,No pude evitar llorar esta mañana.,tristeza
2023-12-14,No puedo creer que dije eso frente a todos.,vergüenza
2023-06-07,Me siento culpable aunque no sé si debería.,culpa
2023-04-06,Tengo fe en que todo esto pasará.,esperanza
2024-08-18,Me regalaron algo que quería hace mucho.,alegría
2024-06-19,No esperaba que me dijera eso.,sorpresa
2023-11-19,Me regalaron algo que quería hace mucho.,alegría
2023-09-24,Tengo miedo de lo que pueda pasar.,miedo
2024-02-07,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-07-15,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2024-01-02,"Me siento vacío, como si algo faltara.",tristeza
2024-04-07,Su sonrisa me cambia el día.,amor
2024-10-18,Me siento culpable aunque no sé si debería.,culpa
2024-09-04,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-03-13,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-10-05,Estoy muy confundido con mis emociones.,confusión
2023-12-19,Me siento culpable aunque no sé si debería.,culpa
2023-03-27,Estoy harto de que me ignoren.,ira
2024-05-02,No puedo dejar de pensar en lo que hice.,culpa
2025-02-17,"No soporto más esta situación, me enoja demasiado.",ira
2024-04-14,No pude evitar llorar esta mañana.,tristeza
2023-02-14,Su sonrisa me cambia el día.,amor
2024-07-16,"Hoy me siento increíble, todo va saliendo bien.",alegría
2023-11-28,No tengo ganas de seguir con nada.,depresión
2025-03-06,Me cuesta levantarme de la cama.,depresión
2024-08-06,No entiendo lo que me está pasando.,confusión
2024-01-28,Tengo miedo de lo que pueda pasar.,miedo
2023-07-21,Creo que las cosas pueden mejorar.,esperanza
2025-01-28,Tengo fe en que todo esto pasará.,esperanza
2025-03-03,No tengo ganas de seguir con nada.,depresión
2023-01-30,Me cuesta levantarme de la cama.,depresión
2023-10-16,Quisiera poder volver atrás y arreglarlo.,culpa
2023-12-25,No esperaba que me dijera eso.,sorpresa
2024-08-19,Estoy harto de que me ignoren.,ira
2024-01-02,No pude evitar llorar esta mañana.,tristeza
2023-10-30,Me cuesta levantarme de la cama.,depresión
2024-03-17,Estoy enamorado y no me da miedo decirlo.,amor
2024-11-19,No tengo ganas de seguir con nada.,depresión
2023-03-06,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2023-04-18,Su sonrisa me cambia el día.,amor
2023-10-05,Mi corazón late rápido y no sé por qué.,ansiedad
2024-05-30,Mi corazón late rápido y no sé por qué.,ansiedad
2023-02-16,Siento que algo malo va a suceder.,miedo
2023-11-12,No entiendo lo que me está pasando.,confusión
2024-04-15,Tengo fe en que todo esto pasará.,esperanza
2025-03-04,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2024-02-25,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-03-06,Quisiera poder volver atrás y arreglarlo.,culpa
2023-02-11,Sigo adelante porque aún tengo esperanza.,esperanza
2024-01-29,Creo que las cosas pueden mejorar.,esperanza
2023-08-27,No esperaba que me dijera eso.,sorpresa
2024-04-22,Siento que algo malo va a suceder.,miedo
2023-06-27,"Me siento vacío, como si algo faltara.",tristeza
2024-05-04,Estoy enamorado y no me da miedo decirlo.,amor
2023-11-30,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-08-18,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-06-23,Tengo miedo de lo que pueda pasar.,miedo
2023-07-23,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-04-09,Quiero desaparecer después de lo que pasó.,vergüenza
2023-09-30,Mi corazón late rápido y no sé por qué.,ansiedad
2023-02-09,"Hoy me siento increíble, todo va saliendo bien.",alegría
2023-01-02,Siento que no valgo nada.,depresión
2023-10-02,Estoy enamorado y no me da miedo decirlo.,amor
2023-06-26,Sigo adelante porque aún tengo esperanza.,esperanza
2023-07-25,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2024-06-20,Todo parece un caos en mi cabeza.,confusión
2024-02-23,Me regalaron algo que quería hace mucho.,alegría
2024-08-26,Todo parece un caos en mi cabeza.,confusión
2023-10-21,Me siento muy avergonzado por lo que hice.,vergüenza
2023-12-17,Me siento muy avergonzado por lo que hice.,vergüenza
2024-01-09,Su sonrisa me cambia el día.,amor
2023-05-24,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-05-13,Creo que las cosas pueden mejorar.,esperanza
2024-05-22,No entiendo lo que me está pasando.,confusión
2023-12-15,Tengo fe en que todo esto pasará.,esperanza
2023-05-30,"Fue una sorpresa total, no lo vi venir.",sorpresa
2025-01-06,No esperaba que me dijera eso.,sorpresa
2025-02-22,Tengo miedo de lo que pueda pasar.,miedo
2024-07-05,Estoy muy confundido con mis emociones.,confusión
2023-11-03,Siento que no valgo nada.,depresión
2024-11-27,No tengo ganas de seguir con nada.,depresión
2023-08-01,Mi corazón late rápido y no sé por qué.,ansiedad
2023-06-17,Creo que las cosas pueden mejorar.,esperanza
2024-01-25,Me cuesta levantarme de la cama.,depresión
2023-06-14,No puedo dejar de pensar en lo que hice.,culpa
2024-05-09,Estoy muy confundido con mis emociones.,confusión
2025-01-19,No puedo creer que dije eso frente a todos.,vergüenza
2024-01-09,"Fue una sorpresa total, no lo vi venir.",sorpresa
2024-08-22,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2024-06-23,No entiendo lo que me está pasando.,confusión
2024-10-16,Me quedé sin palabras.,sorpresa
2024-05-02,"Cada vez que lo veo, me siento en paz.",amor
2023-07-23,No entiendo lo que me está pasando.,confusión
2025-01-17,Quisiera poder volver atrás y arreglarlo.,culpa
2024-02-11,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2023-08-13,Quisiera poder volver atrás y arreglarlo.,culpa
2023-10-11,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-01-12,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-08-31,Me siento culpable aunque no sé si debería.,culpa
2023-11-21,Tengo fe en que todo esto pasará.,esperanza
2024-08-15,Me cuesta levantarme de la cama.,depresión
2024-11-08,Tengo fe en que todo esto pasará.,esperanza
2024-04-26,Estoy harto de que me ignoren.,ira
2023-05-16,Me regalaron algo que quería hace mucho.,alegría
2023-01-25,Me siento culpable aunque no sé si debería.,culpa
2023-04-11,Estoy muy confundido con mis emociones.,confusión
2023-02-19,No pude evitar llorar esta mañana.,tristeza
2023-02-24,Quisiera poder volver atrás y arreglarlo.,culpa
2024-02-04,Siento que algo malo va a suceder.,miedo
2024-04-07,Estoy enamorado y no me da miedo decirlo.,amor
2024-10-05,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-05-14,No pude evitar llorar esta mañana.,tristeza
2024-09-22,Me regalaron algo que quería hace mucho.,alegría
2025-02-24,"No soporto más esta situación, me enoja demasiado.",ira
2025-01-28,Mi corazón late rápido y no sé por qué.,ansiedad
2024-09-28,Quiero desaparecer después de lo que pasó.,vergüenza
2024-10-08,Me cuesta levantarme de la cama.,depresión
2025-02-07,Siento que algo malo va a suceder.,miedo
2023-02-27,"Cada vez que lo veo, me siento en paz.",amor
2023-01-01,"No soporto más esta situación, me enoja demasiado.",ira
2024-03-23,Estoy enamorado y no me da miedo decirlo.,amor
2024-10-05,"Me siento vacío, como si algo faltara.",tristeza
2024-05-25,No pude evitar llorar esta mañana.,tristeza
2025-02-28,"Me siento vacío, como si algo faltara.",tristeza
2023-05-20,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2024-10-30,Tengo miedo de lo que pueda pasar.,miedo
2024-12-10,No pude evitar llorar esta mañana.,tristeza
2023-08-16,Tengo fe en que todo esto pasará.,esperanza
2023-06-12,Estoy enamorado y no me da miedo decirlo.,amor
2023-06-23,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-05-09,No puedo creer que dije eso frente a todos.,vergüenza
2023-12-07,Todo parece un caos en mi cabeza.,confusión
2024-06-19,Me regalaron algo que quería hace mucho.,alegría
2023-01-24,Mi corazón late rápido y no sé por qué.,ansiedad
2023-09-29,No tengo ganas de seguir con nada.,depresión
2023-07-13,No puedo creer que dije eso frente a todos.,vergüenza
2023-02-19,No tengo ganas de seguir con nada.,depresión
2024-07-30,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-10-23,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2024-08-04,Creo que las cosas pueden mejorar.,esperanza
2023-10-21,No puedo creer que dije eso frente a todos.,vergüenza
2024-04-27,Me regalaron algo que quería hace mucho.,alegría
2023-04-10,"No soporto más esta situación, me enoja demasiado.",ira
2023-02-16,No tengo ganas de seguir con nada.,depresión
2023-11-30,Todo parece un caos en mi cabeza.,confusión
2023-01-24,Estoy harto de que me ignoren.,ira
2024-03-25,No esperaba que me dijera eso.,sorpresa
2023-03-03,Me quedé sin palabras.,sorpresa
2023-07-28,Quiero desaparecer después de lo que pasó.,vergüenza
2025-02-01,Siento que algo malo va a suceder.,miedo
2024-06-25,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-01-09,Me regalaron algo que quería hace mucho.,alegría
2024-10-23,Creo que las cosas pueden mejorar.,esperanza
2023-07-03,Quisiera poder volver atrás y arreglarlo.,culpa
2024-04-30,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2023-09-25,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-12-17,No puedo creer que dije eso frente a todos.,vergüenza
2024-04-11,"Me siento vacío, como si algo faltara.",tristeza
2024-03-22,Tengo fe en que todo esto pasará.,esperanza
2023-04-09,No tengo ganas de seguir con nada.,depresión
