fecha,texto,emocion
2023-10-06,Pérdida llorar llorar vacío solitario solitario vacío solitario nostalgia nostalgia solitario solitario.,tristeza
2022-05-08,Vacío llorar llorar llorar nostalgia pérdida vacío.,tristeza
2024-07-09,Conflicto mentira traición mentira conflicto injusticia.,enojo
2023-10-09,Nostalgia vacío solitario pérdida llorar vacío solitario pérdida pérdida llorar llorar.,tristeza
2022-08-03,Éxito logro éxito logro logro familia risas celebración celebración.,felicidad
2024-09-19,Llorar llorar vacío nostalgia pérdida llorar nostalgia vacío pérdida solitario.,tristeza
2024-11-24,Nervios preocupación nervios presión incertidumbre miedo presión incertidumbre incertidumbre.,ansiedad
2022-06-28,Logro éxito familia familia éxito risas celebración risas éxito logro risas familia familia.,felicidad
2022-06-20,Conflicto mentira ira injusticia conflicto injusticia injusticia.,enojo
2024-03-16,Llorar pérdida solitario vacío llorar llorar solitario nostalgia pérdida vacío.,tristeza
2024-01-01,Incertidumbre incertidumbre preocupación presión incertidumbre nervios incertidumbre presión presión.,ansiedad
2024-05-27,Nostalgia vacío nostalgia pérdida vacío vacío pérdida solitario.,tristeza
2023-07-16,Agobio presión presión agobio presión fatiga presión fatiga fatiga agobio agobio.,estrés
2024-09-24,Traición ira mentira traición conflicto ira conflicto ira injusticia.,enojo
2024-02-16,Incertidumbre presión preocupación preocupación incertidumbre presión incertidumbre presión preocupación miedo miedo miedo nervios.,ansiedad
2023-10-01,Agobio presión caos caos agobio fatiga caos agobio sobrecarga.,estrés
2023-05-15,Llorar vacío llorar vacío vacío pérdida llorar pérdida.,tristeza
2023-07-28,Injusticia injusticia traición injusticia conflicto mentira conflicto ira ira.,enojo
2023-03-14,Caos sobrecarga fatiga agobio caos agobio agobio presión fatiga agobio presión presión.,estrés
2024-05-31,Traición traición injusticia traición conflicto traición mentira ira traición traición injusticia injusticia.,enojo
2024-09-11,Celebración logro celebración familia celebración risas éxito celebración celebración familia celebración familia.,felicidad
2023-04-18,Agobio agobio presión presión caos caos sobrecarga.,estrés
2022-12-31,Sobrecarga sobrecarga fatiga agobio fatiga fatiga presión.,estrés
2025-02-11,Risas logro éxito familia logro celebración familia familia.,felicidad
2022-06-12,Pérdida vacío llorar solitario solitario nostalgia llorar pérdida.,tristeza
2022-12-25,Conflicto conflicto ira traición traición traición.,enojo
2023-04-11,Injusticia mentira ira injusticia ira conflicto mentira conflicto traición.,enojo
2024-06-02,Vacío llorar vacío pérdida nostalgia vacío solitario vacío pérdida vacío.,tristeza
2024-09-04,Solitario vacío vacío nostalgia solitario vacío solitario pérdida vacío solitario llorar solitario.,tristeza
2025-01-05,Nostalgia llorar llorar solitario llorar pérdida llorar vacío nostalgia pérdida vacío.,tristeza
2024-02-09,Preocupación incertidumbre incertidumbre preocupación preocupación presión preocupación nervios miedo presión incertidumbre incertidumbre presión.,ansiedad
2023-04-16,Preocupación preocupación nervios incertidumbre miedo miedo nervios preocupación miedo incertidumbre.,ansiedad
2024-06-02,Presión presión preocupación incertidumbre preocupación miedo miedo preocupación.,ansiedad
2023-07-12,Conflicto conflicto mentira ira injusticia injusticia ira mentira conflicto traición conflicto mentira conflicto.,enojo
2024-09-27,Injusticia injusticia traición mentira conflicto injusticia conflicto conflicto mentira injusticia ira conflicto.,enojo
2022-06-12,Llorar vacío llorar solitario pérdida pérdida solitario pérdida.,tristeza
2024-11-13,Miedo presión nervios incertidumbre miedo nervios presión nervios nervios nervios.,ansiedad
2022-11-04,Injusticia traición traición mentira conflicto injusticia traición conflicto injusticia.,enojo
2024-10-16,Celebración risas risas celebración celebración éxito logro.,felicidad
2024-04-29,Pérdida pérdida vacío nostalgia vacío solitario nostalgia nostalgia nostalgia solitario.,tristeza
2022-04-13,Solitario pérdida nostalgia vacío llorar solitario solitario pérdida solitario nostalgia.,tristeza
2023-10-11,Injusticia ira traición ira injusticia mentira ira conflicto injusticia mentira.,enojo
2023-05-19,Pérdida solitario pérdida nostalgia pérdida pérdida nostalgia nostalgia llorar solitario.,tristeza
2023-12-20,Nostalgia pérdida nostalgia pérdida solitario vacío solitario vacío vacío pérdida vacío vacío nostalgia.,tristeza
2024-01-14,Risas éxito familia familia celebración logro celebración celebración risas celebración risas risas.,felicidad
2022-08-12,Llorar llorar vacío nostalgia nostalgia pérdida vacío llorar vacío pérdida llorar.,tristeza
2024-05-23,Incertidumbre miedo presión nervios incertidumbre incertidumbre nervios.,ansiedad
2023-01-16,Ira traición mentira traición conflicto traición conflicto injusticia conflicto conflicto injusticia.,enojo
2022-11-22,Solitario pérdida nostalgia vacío pérdida pérdida solitario solitario.,tristeza
2022-11-12,Traición injusticia conflicto ira injusticia conflicto injusticia traición traición injusticia ira conflicto.,enojo
2023-10-19,Presión fatiga presión sobrecarga presión caos agobio.,estrés
2024-07-06,Celebración familia celebración familia éxito risas éxito logro logro éxito.,felicidad
2023-03-02,Vacío solitario llorar vacío vacío llorar.,tristeza
2025-03-03,Familia celebración celebración éxito familia éxito.,felicidad
2023-03-19,Ira injusticia mentira ira mentira ira conflicto ira ira traición.,enojo
2023-01-18,Nervios incertidumbre incertidumbre incertidumbre presión nervios miedo nervios incertidumbre nervios incertidumbre preocupación.,ansiedad
2024-11-17,Injusticia ira ira traición conflicto conflicto mentira conflicto.,enojo
2022-10-23,Sobrecarga presión fatiga caos caos presión presión presión.,estrés
2024-12-13,Nostalgia llorar vacío solitario vacío nostalgia llorar llorar nostalgia nostalgia.,tristeza
2022-10-24,Presión agobio fatiga agobio presión presión sobrecarga.,estrés
2023-02-04,Fatiga sobrecarga sobrecarga sobrecarga caos agobio presión agobio.,estrés
2023-04-11,Nostalgia solitario vacío pérdida nostalgia nostalgia vacío llorar pérdida vacío.,tristeza
2023-12-03,Incertidumbre nervios miedo preocupación presión miedo presión presión miedo.,ansiedad
2023-07-28,Preocupación incertidumbre incertidumbre presión miedo preocupación incertidumbre preocupación nervios miedo nervios presión.,ansiedad
2024-01-25,Injusticia ira ira injusticia traición mentira ira conflicto mentira ira.,enojo
2024-10-24,Presión agobio agobio agobio sobrecarga sobrecarga presión presión.,estrés
2024-12-31,Llorar solitario solitario llorar nostalgia solitario solitario solitario vacío llorar nostalgia.,tristeza
2024-04-22,Presión agobio presión caos caos caos presión caos agobio agobio caos caos caos.,estrés
2024-03-16,Solitario vacío solitario pérdida nostalgia solitario pérdida llorar llorar pérdida nostalgia llorar solitario.,tristeza
2023-03-08,Conflicto injusticia ira ira conflicto injusticia conflicto traición traición conflicto.,enojo
2024-02-03,Caos sobrecarga caos caos sobrecarga presión agobio sobrecarga sobrecarga presión.,estrés
2022-07-29,Pérdida llorar nostalgia llorar vacío solitario solitario.,tristeza
2023-03-04,Presión nervios preocupación presión miedo nervios presión nervios.,ansiedad
2022-05-26,Presión nervios presión nervios nervios incertidumbre miedo preocupación presión preocupación presión nervios presión.,ansiedad
2024-09-06,Familia celebración éxito éxito logro éxito logro celebración celebración.,felicidad
2024-09-10,Éxito logro risas risas risas éxito.,felicidad
2023-09-01,Risas familia familia logro risas celebración risas risas risas logro celebración.,felicidad
2023-10-09,Presión nervios presión presión presión presión presión preocupación.,ansiedad
2024-05-13,Ira ira ira injusticia traición traición conflicto mentira injusticia traición mentira.,enojo
2022-10-03,Traición ira injusticia conflicto injusticia injusticia ira injusticia injusticia conflicto injusticia.,enojo
2024-11-13,Logro familia familia logro celebración celebración familia.,felicidad
2022-03-24,Injusticia traición conflicto mentira mentira injusticia ira ira conflicto injusticia injusticia mentira.,enojo
2024-08-03,Nostalgia llorar llorar pérdida nostalgia llorar pérdida vacío pérdida solitario nostalgia nostalgia.,tristeza
2024-09-04,Celebración risas logro éxito celebración éxito.,felicidad
2023-07-22,Incertidumbre preocupación preocupación presión miedo presión incertidumbre incertidumbre miedo presión incertidumbre presión presión.,ansiedad
2022-04-18,Logro risas risas éxito risas logro celebración risas logro.,felicidad
2023-09-03,Mentira conflicto conflicto ira traición mentira injusticia injusticia injusticia conflicto traición conflicto.,enojo
2025-01-02,Conflicto ira conflicto mentira ira conflicto mentira conflicto.,enojo
2024-09-27,Presión nervios preocupación miedo incertidumbre preocupación nervios nervios nervios miedo nervios.,ansiedad
2024-07-09,Presión fatiga agobio presión fatiga sobrecarga caos caos presión caos presión.,estrés
2023-02-23,Conflicto injusticia injusticia traición ira conflicto injusticia injusticia conflicto conflicto ira conflicto.,enojo
2023-08-01,Miedo nervios preocupación nervios miedo preocupación presión preocupación presión incertidumbre nervios.,ansiedad
2024-07-01,Mentira mentira injusticia ira traición ira mentira traición conflicto.,enojo
2024-07-17,Injusticia ira traición injusticia injusticia conflicto.,enojo
2022-03-17,Presión fatiga presión sobrecarga fatiga fatiga.,estrés
2023-10-20,Fatiga sobrecarga fatiga presión fatiga agobio.,estrés
2023-07-17,Sobrecarga presión fatiga presión presión fatiga sobrecarga.,estrés
2023-02-11,Solitario solitario vacío solitario vacío vacío solitario.,tristeza
2024-05-09,Ira traición ira traición mentira ira mentira traición traición.,enojo
2022-12-06,Nervios nervios incertidumbre incertidumbre nervios preocupación incertidumbre presión.,ansiedad
2023-05-11,Llorar nostalgia nostalgia solitario solitario vacío.,tristeza
2023-12-31,Nervios miedo nervios incertidumbre presión miedo preocupación preocupación nervios.,ansiedad
2022-11-08,Celebración logro risas celebración éxito risas logro familia risas.,felicidad
2024-07-08,Vacío llorar solitario nostalgia llorar llorar nostalgia vacío llorar nostalgia pérdida vacío vacío.,tristeza
2024-07-11,Vacío nostalgia solitario solitario nostalgia llorar llorar nostalgia vacío pérdida nostalgia vacío llorar pérdida.,tristeza
2023-01-13,Miedo presión incertidumbre preocupación preocupación nervios presión incertidumbre.,ansiedad
2023-04-20,Presión fatiga agobio caos presión caos presión caos presión.,estrés
2023-08-15,Llorar pérdida pérdida solitario vacío llorar solitario solitario llorar llorar pérdida.,tristeza
2025-02-27,Vacío nostalgia nostalgia nostalgia vacío pérdida solitario nostalgia vacío vacío vacío llorar.,tristeza
2023-03-01,Miedo incertidumbre miedo miedo incertidumbre preocupación incertidumbre incertidumbre presión presión nervios nervios.,ansiedad
2022-12-03,Risas éxito risas risas celebración risas éxito celebración.,felicidad
2023-10-07,Solitario vacío pérdida llorar vacío solitario solitario.,tristeza
2023-11-07,Incertidumbre incertidumbre nervios miedo miedo incertidumbre preocupación preocupación.,ansiedad
2024-05-01,Traición mentira injusticia conflicto mentira traición injusticia mentira mentira.,enojo
2023-05-07,Nervios nervios presión preocupación presión preocupación nervios nervios preocupación miedo.,ansiedad
2022-03-18,Injusticia injusticia conflicto conflicto conflicto traición traición conflicto conflicto injusticia injusticia.,enojo
2024-05-05,Agobio caos caos sobrecarga agobio fatiga presión agobio presión sobrecarga sobrecarga agobio fatiga.,estrés
2022-05-18,Ira mentira traición conflicto traición injusticia mentira ira ira.,enojo
2022-03-26,Pérdida llorar pérdida nostalgia vacío nostalgia solitario nostalgia solitario.,tristeza
2023-03-01,Mentira conflicto traición conflicto ira ira traición ira mentira conflicto injusticia traición traición.,enojo
2023-09-29,Sobrecarga presión fatiga caos presión fatiga caos sobrecarga fatiga sobrecarga caos caos.,estrés
2024-12-13,Presión miedo preocupación nervios miedo preocupación miedo incertidumbre miedo incertidumbre preocupación preocupación miedo.,ansiedad
2024-10-07,Nostalgia llorar vacío pérdida solitario nostalgia llorar pérdida solitario pérdida nostalgia vacío.,tristeza
2023-08-14,Nervios nervios presión preocupación incertidumbre incertidumbre incertidumbre preocupación preocupación nervios nervios miedo.,ansiedad
2022-08-09,Solitario solitario solitario nostalgia solitario llorar nostalgia solitario solitario solitario vacío nostalgia nostalgia nostalgia.,tristeza
2022-09-24,Solitario nostalgia solitario vacío solitario vacío nostalgia vacío pérdida pérdida.,tristeza
2022-10-28,Miedo preocupación incertidumbre nervios nervios presión preocupación miedo presión.,ansiedad
2022-04-30,Sobrecarga fatiga fatiga presión caos sobrecarga caos caos agobio fatiga presión presión.,estrés
2024-03-10,Agobio caos agobio fatiga presión caos agobio.,estrés
2024-12-20,Risas logro logro logro celebración celebración.,felicidad
2022-05-29,Vacío vacío vacío nostalgia pérdida llorar solitario solitario.,tristeza
2023-04-12,Familia éxito familia celebración familia éxito logro éxito logro éxito risas familia éxito.,felicidad
2024-07-31,Pérdida vacío pérdida solitario vacío llorar nostalgia pérdida pérdida pérdida llorar.,tristeza
2022-06-06,Pérdida llorar pérdida vacío llorar pérdida vacío llorar llorar vacío vacío.,tristeza
2022-11-19,Nervios incertidumbre incertidumbre incertidumbre preocupación nervios.,ansiedad
2022-05-24,Vacío vacío solitario nostalgia pérdida llorar vacío.,tristeza
2024-08-24,Incertidumbre incertidumbre nervios preocupación preocupación nervios preocupación miedo miedo nervios preocupación nervios nervios.,ansiedad
2022-09-11,Solitario solitario vacío solitario pérdida solitario pérdida solitario.,tristeza
2025-02-06,Sobrecarga presión fatiga caos presión sobrecarga sobrecarga caos caos presión.,estrés
2024-12-20,Agobio agobio fatiga presión presión sobrecarga.,estrés
2022-10-27,Llorar llorar solitario pérdida pérdida llorar pérdida pérdida llorar solitario solitario pérdida.,tristeza
2024-03-02,Pérdida vacío nostalgia llorar nostalgia pérdida.,tristeza
2024-01-17,Familia risas logro éxito celebración familia éxito.,felicidad
2022-07-28,Mentira mentira ira conflicto injusticia injusticia mentira injusticia.,enojo
2022-11-05,Mentira injusticia mentira traición traición mentira ira traición ira injusticia traición.,enojo
2024-10-02,Vacío vacío pérdida solitario vacío nostalgia vacío pérdida pérdida nostalgia llorar.,tristeza
2022-12-30,Nostalgia llorar pérdida vacío nostalgia nostalgia pérdida vacío llorar vacío solitario pérdida.,tristeza
2024-03-09,Logro éxito risas logro familia éxito celebración celebración.,felicidad
2023-03-04,Fatiga sobrecarga fatiga caos agobio fatiga caos fatiga.,estrés
2022-10-22,Nervios preocupación preocupación preocupación nervios incertidumbre incertidumbre incertidumbre presión preocupación nervios preocupación.,ansiedad
2024-07-23,Mentira conflicto ira traición conflicto mentira injusticia.,enojo
2025-01-29,Mentira conflicto injusticia conflicto ira traición injusticia injusticia ira injusticia mentira injusticia.,enojo
2023-09-18,Preocupación miedo miedo incertidumbre nervios miedo miedo miedo incertidumbre nervios.,ansiedad
2023-08-23,Ira mentira ira traición traición conflicto mentira conflicto mentira ira ira conflicto.,enojo
2024-03-19,Presión presión caos fatiga fatiga agobio agobio sobrecarga fatiga agobio caos.,estrés
2023-12-21,Presión sobrecarga sobrecarga agobio fatiga caos fatiga caos.,estrés
2023-06-04,Caos fatiga caos fatiga fatiga caos caos presión.,estrés
2023-12-09,Preocupación presión miedo preocupación nervios miedo.,ansiedad
2022-09-13,Presión presión preocupación nervios presión nervios preocupación miedo nervios presión miedo nervios incertidumbre.,ansiedad
2023-11-13,Agobio sobrecarga sobrecarga presión fatiga fatiga presión agobio agobio agobio.,estrés
2023-08-12,Ira conflicto mentira mentira mentira conflicto mentira mentira ira.,enojo
2023-06-05,Fatiga presión presión agobio sobrecarga fatiga agobio fatiga fatiga agobio sobrecarga sobrecarga.,estrés
2023-11-25,Logro familia celebración éxito logro éxito éxito familia logro celebración logro celebración éxito.,felicidad
2024-01-06,Presión sobrecarga fatiga fatiga sobrecarga presión agobio sobrecarga presión fatiga presión presión sobrecarga.,estrés
2024-07-14,Ira ira traición injusticia ira mentira.,enojo
2024-12-02,Mentira traición injusticia traición mentira traición mentira ira.,enojo
2022-10-05,Caos caos caos caos fatiga caos fatiga agobio agobio presión.,estrés
2023-06-05,Sobrecarga agobio fatiga caos fatiga sobrecarga presión agobio.,estrés
2022-09-13,Injusticia injusticia mentira injusticia ira conflicto mentira.,enojo
2023-02-08,Solitario solitario nostalgia nostalgia pérdida solitario solitario solitario pérdida.,tristeza
2023-01-04,Conflicto traición traición injusticia traición conflicto ira injusticia injusticia injusticia injusticia conflicto traición.,enojo
2023-01-07,Risas éxito logro celebración risas celebración familia éxito logro éxito familia risas.,felicidad
2024-06-17,Vacío nostalgia llorar solitario nostalgia solitario pérdida pérdida llorar solitario pérdida.,tristeza
2023-10-05,Nostalgia pérdida solitario pérdida llorar pérdida vacío pérdida llorar vacío solitario nostalgia vacío.,tristeza
2023-08-31,Logro celebración familia risas familia celebración logro risas celebración familia risas logro risas.,felicidad
2022-05-08,Presión fatiga fatiga fatiga sobrecarga presión caos caos fatiga caos sobrecarga fatiga fatiga.,estrés
2023-05-06,Injusticia traición injusticia traición ira mentira injusticia injusticia injusticia mentira injusticia.,enojo
2022-06-15,Solitario pérdida nostalgia solitario llorar nostalgia llorar nostalgia.,tristeza
2022-06-22,Pérdida llorar vacío llorar vacío nostalgia solitario nostalgia llorar llorar.,tristeza
2023-02-26,Incertidumbre presión incertidumbre nervios miedo nervios preocupación presión presión miedo presión presión.,ansiedad
2024-01-06,Conflicto ira injusticia ira mentira traición ira traición injusticia.,enojo
2023-05-17,Presión presión sobrecarga caos sobrecarga fatiga agobio caos.,estrés
2022-04-22,Incertidumbre preocupación preocupación nervios nervios presión presión.,ansiedad
2024-06-17,Ira injusticia injusticia mentira traición traición conflicto traición mentira traición ira traición.,enojo
2024-12-23,Familia logro risas logro logro logro familia familia éxito familia risas familia familia.,felicidad
2023-10-25,Familia éxito familia éxito logro risas éxito logro risas logro.,felicidad
2024-12-25,Presión nervios presión presión incertidumbre preocupación nervios nervios incertidumbre preocupación presión presión incertidumbre.,ansiedad
2023-10-07,Fatiga sobrecarga caos caos agobio presión caos caos.,estrés
2022-11-24,Llorar pérdida llorar solitario llorar solitario llorar llorar vacío pérdida.,tristeza
2024-10-21,Ira conflicto injusticia conflicto conflicto ira conflicto ira conflicto.,enojo
2023-08-16,Pérdida llorar llorar llorar solitario pérdida nostalgia solitario nostalgia.,tristeza
2022-09-26,Miedo presión preocupación presión presión miedo preocupación.,ansiedad
2022-07-10,Nostalgia vacío llorar pérdida vacío solitario vacío vacío llorar.,tristeza
2023-08-21,Fatiga caos presión presión agobio agobio caos.,estrés
2022-04-30,Conflicto mentira injusticia traición traición mentira ira ira conflicto.,enojo
2024-01-31,Injusticia traición conflicto injusticia mentira injusticia injusticia mentira traición.,enojo
2024-05-02,Presión nervios nervios incertidumbre nervios preocupación miedo miedo presión nervios presión preocupación miedo.,ansiedad
2022-06-02,Nostalgia solitario pérdida llorar solitario vacío vacío llorar pérdida.,tristeza
2023-01-31,Vacío nostalgia vacío llorar solitario nostalgia pérdida vacío solitario vacío vacío.,tristeza
2023-06-15,Familia logro celebración éxito éxito logro éxito logro.,felicidad
2024-06-14,Fatiga caos agobio fatiga fatiga caos fatiga fatiga sobrecarga caos.,estrés
2025-02-18,Traición conflicto ira traición conflicto injusticia mentira mentira conflicto conflicto traición.,enojo
2023-10-02,Conflicto conflicto injusticia conflicto traición conflicto conflicto mentira injusticia traición conflicto conflicto.,enojo
2023-03-07,Mentira conflicto mentira injusticia ira mentira.,enojo
2022-12-25,Ira injusticia ira conflicto traición conflicto ira injusticia mentira mentira conflicto.,enojo
2022-12-14,Risas familia logro logro risas éxito éxito familia logro familia risas familia logro.,felicidad
2024-07-15,Preocupación incertidumbre nervios miedo incertidumbre nervios nervios preocupación.,ansiedad
2024-04-11,Preocupación nervios preocupación miedo incertidumbre incertidumbre miedo preocupación miedo.,ansiedad
2024-08-13,Fatiga sobrecarga agobio caos caos caos caos presión agobio sobrecarga fatiga.,estrés
2024-12-17,Conflicto injusticia ira traición injusticia mentira mentira injusticia conflicto.,enojo
2024-06-29,Conflicto mentira conflicto ira traición traición mentira ira ira injusticia injusticia mentira.,enojo
2023-06-09,Traición ira traición conflicto traición injusticia conflicto traición mentira injusticia ira traición.,enojo
2024-11-17,Nostalgia solitario llorar vacío llorar nostalgia vacío.,tristeza
2025-01-21,Celebración celebración logro logro risas logro risas celebración risas logro familia.,felicidad
2023-01-01,Solitario nostalgia nostalgia nostalgia solitario vacío llorar pérdida solitario llorar nostalgia vacío pérdida.,tristeza
2024-08-02,Pérdida solitario solitario solitario llorar nostalgia pérdida pérdida llorar pérdida llorar nostalgia solitario.,tristeza
2023-09-08,Ira injusticia mentira traición traición traición ira conflicto conflicto traición mentira.,enojo
2022-12-20,Nervios miedo preocupación nervios miedo incertidumbre presión nervios preocupación miedo presión.,ansiedad
2022-10-01,Traición ira conflicto ira injusticia ira traición conflicto mentira.,enojo
2024-09-06,Fatiga fatiga sobrecarga agobio caos agobio fatiga.,estrés
2023-12-13,Sobrecarga agobio caos agobio agobio sobrecarga fatiga.,estrés
2023-11-24,Mentira traición mentira ira traición mentira traición injusticia conflicto conflicto traición mentira.,enojo
2022-07-06,Miedo presión incertidumbre presión incertidumbre preocupación nervios.,ansiedad
2022-06-15,Mentira mentira injusticia conflicto traición injusticia mentira conflicto ira.,enojo
2024-08-25,Vacío llorar solitario pérdida nostalgia nostalgia nostalgia llorar solitario.,tristeza
2022-09-27,Familia celebración logro risas éxito familia risas logro.,felicidad
2024-09-18,Nervios miedo presión incertidumbre preocupación miedo miedo nervios incertidumbre incertidumbre incertidumbre presión incertidumbre.,ansiedad
2025-01-25,Nostalgia solitario llorar llorar solitario nostalgia solitario nostalgia solitario solitario llorar pérdida.,tristeza
2023-06-03,Pérdida solitario solitario nostalgia llorar nostalgia llorar llorar solitario vacío solitario solitario.,tristeza
2024-07-23,Miedo nervios miedo incertidumbre incertidumbre incertidumbre presión nervios presión nervios incertidumbre presión.,ansiedad
2022-06-25,Logro logro éxito logro éxito risas logro familia celebración familia familia éxito.,felicidad
2024-05-14,Familia celebración celebración logro risas celebración.,felicidad
2024-07-27,Miedo nervios preocupación presión presión preocupación nervios incertidumbre.,ansiedad
2022-04-01,Llorar vacío solitario nostalgia nostalgia vacío llorar vacío nostalgia vacío nostalgia.,tristeza
2023-01-28,Nostalgia pérdida vacío solitario vacío llorar llorar.,tristeza
2023-09-28,Llorar solitario nostalgia llorar pérdida solitario llorar.,tristeza
2023-11-26,Fatiga caos presión caos caos caos presión presión caos fatiga agobio agobio caos.,estrés
2023-11-01,Miedo preocupación miedo miedo miedo presión nervios nervios miedo nervios incertidumbre.,ansiedad
2024-07-19,Vacío vacío solitario pérdida llorar llorar nostalgia nostalgia pérdida.,tristeza
2024-01-26,Sobrecarga presión sobrecarga fatiga presión fatiga caos caos.,estrés
2022-03-27,Caos fatiga presión caos caos agobio caos fatiga sobrecarga.,estrés
2024-03-27,Miedo presión nervios nervios presión preocupación incertidumbre incertidumbre incertidumbre preocupación incertidumbre incertidumbre.,ansiedad
2023-10-17,Mentira mentira mentira ira injusticia mentira conflicto conflicto mentira injusticia traición traición.,enojo
2023-10-29,Logro celebración familia celebración logro celebración éxito logro risas celebración.,felicidad
2024-06-06,Ira traición injusticia conflicto traición conflicto mentira ira.,enojo
2022-10-26,Llorar pérdida solitario pérdida solitario pérdida solitario pérdida vacío pérdida vacío pérdida vacío.,tristeza
2023-03-06,Fatiga sobrecarga agobio agobio agobio fatiga sobrecarga caos presión.,estrés
2024-09-08,Miedo presión incertidumbre miedo preocupación preocupación nervios miedo.,ansiedad
2024-09-11,Presión sobrecarga fatiga sobrecarga sobrecarga fatiga.,estrés
2023-11-22,Risas celebración risas éxito risas éxito éxito familia familia risas logro logro.,felicidad
2022-09-26,Éxito éxito celebración familia risas familia celebración éxito celebración familia éxito celebración logro.,felicidad
2022-06-11,Llorar nostalgia nostalgia pérdida nostalgia nostalgia vacío.,tristeza
2024-04-15,Mentira conflicto ira conflicto traición injusticia injusticia mentira.,enojo
2024-09-22,Sobrecarga caos agobio agobio sobrecarga presión presión caos fatiga fatiga.,estrés
2022-11-16,Familia familia éxito familia logro logro logro celebración logro logro familia celebración.,felicidad
2022-05-24,Presión presión fatiga fatiga fatiga agobio presión caos presión fatiga caos presión.,estrés
2023-12-18,Solitario solitario llorar llorar llorar pérdida nostalgia solitario nostalgia.,tristeza
2023-10-01,Mentira traición injusticia mentira conflicto injusticia ira ira traición conflicto.,enojo
2022-11-18,Nostalgia pérdida pérdida nostalgia vacío nostalgia.,tristeza
2024-07-11,Solitario pérdida llorar pérdida solitario vacío solitario nostalgia solitario pérdida vacío llorar pérdida.,tristeza
2024-06-02,Miedo incertidumbre preocupación incertidumbre miedo nervios incertidumbre preocupación incertidumbre miedo presión nervios presión.,ansiedad
2023-01-12,Agobio presión agobio caos presión fatiga.,estrés
2023-07-24,Presión miedo preocupación nervios nervios nervios.,ansiedad
2024-05-21,Traición mentira ira traición injusticia conflicto traición traición ira.,enojo
2023-08-24,Conflicto mentira mentira traición injusticia injusticia traición.,enojo
2022-08-24,Celebración éxito éxito risas familia logro éxito éxito risas.,felicidad
2024-01-09,Éxito risas risas celebración familia celebración éxito.,felicidad
2023-12-13,Incertidumbre presión miedo miedo preocupación presión miedo.,ansiedad
2024-07-08,Sobrecarga agobio presión caos sobrecarga presión caos.,estrés
2023-01-22,Celebración celebración risas familia logro logro celebración logro logro familia logro éxito.,felicidad
2022-06-18,Logro risas logro éxito logro familia éxito celebración éxito celebración familia.,felicidad
2024-03-22,Presión nervios presión nervios preocupación nervios nervios preocupación nervios presión.,ansiedad
2022-07-20,Vacío pérdida nostalgia pérdida vacío vacío pérdida.,tristeza
2024-12-03,Sobrecarga agobio presión sobrecarga caos caos agobio sobrecarga.,estrés
2022-03-18,Mentira conflicto injusticia conflicto conflicto traición.,enojo
2023-03-23,Risas familia éxito celebración éxito familia logro éxito celebración celebración logro éxito risas.,felicidad
2022-11-12,Éxito celebración risas risas éxito éxito éxito celebración familia logro.,felicidad
2023-03-01,Sobrecarga fatiga sobrecarga agobio fatiga sobrecarga caos.,estrés
2024-08-30,Incertidumbre presión miedo miedo nervios miedo nervios incertidumbre presión preocupación.,ansiedad
2024-06-29,Caos agobio caos agobio agobio caos agobio agobio fatiga sobrecarga.,estrés
2024-04-06,Conflicto injusticia conflicto conflicto ira traición conflicto mentira ira traición mentira ira traición.,enojo
2022-12-21,Logro éxito familia risas celebración risas éxito familia logro logro éxito familia logro.,felicidad
2024-01-20,Nervios presión incertidumbre miedo nervios presión miedo nervios.,ansiedad
2023-09-18,Risas éxito éxito logro éxito risas familia risas logro logro éxito familia.,felicidad
2023-07-26,Nostalgia nostalgia solitario llorar llorar solitario.,tristeza
2024-06-05,Presión miedo miedo preocupación nervios nervios miedo.,ansiedad
2025-02-05,Caos agobio caos sobrecarga caos agobio caos presión fatiga presión fatiga agobio.,estrés
2022-11-12,Conflicto conflicto traición traición traición conflicto mentira traición traición conflicto.,enojo
2023-12-07,Injusticia mentira mentira injusticia conflicto ira mentira injusticia mentira conflicto mentira mentira mentira.,enojo
2024-10-13,Pérdida llorar solitario vacío llorar llorar pérdida vacío.,tristeza
2022-05-05,Agobio agobio presión fatiga agobio presión caos presión caos sobrecarga fatiga.,estrés
2022-07-05,Agobio sobrecarga presión presión fatiga sobrecarga sobrecarga.,estrés
2022-03-30,Agobio fatiga caos fatiga fatiga sobrecarga.,estrés
2023-04-17,Logro logro éxito éxito familia familia logro familia logro.,felicidad
2025-02-01,Mentira conflicto traición conflicto injusticia conflicto ira injusticia mentira mentira.,enojo
2022-06-28,Solitario llorar solitario pérdida llorar vacío llorar llorar pérdida vacío pérdida llorar pérdida.,tristeza
2023-01-22,Presión agobio sobrecarga agobio caos agobio presión sobrecarga.,estrés
2022-11-25,Caos fatiga caos caos caos fatiga agobio fatiga sobrecarga.,estrés
2023-08-28,Preocupación preocupación miedo incertidumbre nervios nervios preocupación presión presión miedo presión miedo.,ansiedad
2024-11-01,Fatiga presión agobio sobrecarga fatiga caos.,estrés
2024-05-16,Llorar pérdida pérdida pérdida llorar vacío nostalgia solitario vacío llorar nostalgia pérdida.,tristeza
2022-06-18,Preocupación incertidumbre presión nervios nervios miedo presión.,ansiedad
2023-03-30,Sobrecarga sobrecarga sobrecarga agobio agobio agobio presión sobrecarga.,estrés
